i,fr,sudut,p1,p2,galat,nyambung,f_badan,puncak_rel_badan,saddle_rel_badan,r_sel,luas_sel,st_gabung,br_gabung,terdeteksi,iou_inti,br_ref,st_ref,br_kor,st_kor
298,0.9033167334686178,2.7295873097261354,pbcseg_final_v1\LY_674060_ccrop_mask.png,pbcseg_final_v1\MO_567498_ccrop_mask.png,,True,0.3569579684142456,0.7534491286872995,0.39649116027305387,62.39390995922599,22555,terpisah_di_nol,0.0,True,0.9769315847685258,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
300,0.9138465209103593,0.5724741478971432,pbcseg_final_v1\LY_918465_ccrop_mask.png,pbcseg_final_v1\MO_183392_ccrop_mask.png,,True,0.37389022023561436,0.6422183775355891,0.2683281572999748,75.0,32888,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
301,0.8456670611468525,2.2068879100694194,pbcseg_final_v1\MO_289893_ccrop_mask.png,pbcseg_final_v1\LY_105283_ccrop_mask.png,,True,0.13185143889686493,0.5742516454415233,0.44240020654465834,65.55150646628954,19999,normal,0.027767067240353285,True,0.9919589791399603,0.726733696648405,normal,0.726733696648405,normal
302,0.8131801671744044,1.1352393132518213,pbcseg_final_v1\LY_892611_ccrop_mask.png,pbcseg_final_v1\MO_329929_ccrop_mask.png,,True,0.23161885816120933,0.8417555758579567,0.6101367176967473,60.108235708594876,21051,normal,0.05224229744107162,True,0.9197370432655557,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
303,0.8003881095654513,3.4492621162082666,pbcseg_final_v1\LY_289402_ccrop_mask.png,pbcseg_final_v1\MO_641324_ccrop_mask.png,,True,0.12194457312290816,0.6077208941896298,0.48577632106672164,72.40165743959182,24239,terpisah_di_nol,0.0,True,0.9294826364280652,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
280,0.8770847533779389,2.218073186018412,pbcseg_final_v1\LY_314311_ccrop_mask.png,pbcseg_final_v1\MO_340650_ccrop_mask.png,,True,0.21449828300984755,0.5400225260485535,0.3255242430387059,83.0,35260,terpisah_di_nol,0.0,True,0.9660081865100552,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
281,0.905695720538926,1.4415629389117457,pbcseg_final_v1\MO_226755_ccrop_mask.png,pbcseg_final_v1\LY_867406_ccrop_mask.png,,True,0.2104690027721217,0.6225506946181887,0.412081691846067,67.11929677819934,22782,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
282,0.8738231987954933,5.7169223114504115,pbcseg_final_v1\MO_988224_ccrop_mask.png,pbcseg_final_v1\LY_650769_ccrop_mask.png,,True,0.40076817487922783,0.855886009824193,0.45511783494496516,58.008620049092706,27287,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
274,0.9473532663338238,4.936228281848279,pbcseg_final_v1\MO_338729_ccrop_mask.png,pbcseg_final_v1\LY_540241_ccrop_mask.png,,True,0.35853785316466313,0.6340648780296452,0.27552702486498204,69.33974329343886,22338,terpisah_di_nol,0.0,True,1.0,0.8616781710048514,normal,0.8616781710048514,normal
275,0.7692251353287547,0.6076890851204767,pbcseg_final_v1\MO_482763_ccrop_mask.png,pbcseg_final_v1\LY_904936_ccrop_mask.png,,True,0.13309760563665568,0.5582421956735901,0.4251445900369345,76.0,31858,terpisah_di_nol,0.0,True,1.0,0.4764880022902262,normal,0.4764880022902262,normal
276,0.950949491996101,0.18418809786567125,pbcseg_final_v1\MO_764487_ccrop_mask.png,pbcseg_final_v1\LY_247228_ccrop_mask.png,,True,0.32459555281703895,0.5804830750118685,0.2558875221948296,73.00684899377592,24397,terpisah_di_nol,0.0,True,1.0,0.2896708142901699,normal,0.2896708142901699,normal
277,0.9393918691158162,1.6759850469817916,pbcseg_final_v1\LY_954324_ccrop_mask.png,pbcseg_final_v1\LY_69243_ccrop_mask.png,,True,0.3920585002257587,0.9234717104492156,0.5314132102234569,50.0,18252,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
278,0.717726236895837,2.7344910922710284,pbcseg_final_v1\MO_763772_ccrop_mask.png,pbcseg_final_v1\MO_2893_ccrop_mask.png,,True,0.15771501200667684,0.8604433809329834,0.7027283689263066,89.09545442950498,46602,terpisah_di_nol,0.0,True,0.9806884292178409,0.45728307063726925,normal,0.45728307063726925,normal
279,0.9679203932017164,5.5157468470990665,pbcseg_final_v1\MO_836146_ccrop_mask.png,pbcseg_final_v1\LY_265119_ccrop_mask.png,,True,0.4786642924898023,0.6534741395044289,0.17480984701462654,61.61168720299745,19213,terpisah_di_nol,0.0,True,1.0,0.6094137213042145,normal,0.6094137213042145,normal
296,0.970361688037775,2.334359692158782,pbcseg_final_v1\LY_707158_ccrop_mask.png,pbcseg_final_v1\LY_973118_ccrop_mask.png,,True,0.5942291305184303,0.8469598812590994,0.2527307507406691,58.82176467941097,19742,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
297,0.8209182676504732,0.1656219822698622,pbcseg_final_v1\MO_608407_ccrop_mask.png,pbcseg_final_v1\LY_665021_ccrop_mask.png,,True,0.09274750228745704,0.5288407874254288,0.4360932851379718,85.61541917201598,30007,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
307,0.7218101179340904,1.8351022443210907,pbcseg_final_v1\LY_928141_ccrop_mask.png,pbcseg_final_v1\LY_828552_ccrop_mask.png,,True,0.12673214528328297,0.8719116714439228,0.7451795261606398,54.378304497290095,17783,terpisah_di_nol,0.0,True,0.8624632977901406,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
308,0.736640155145329,1.4616267380199885,pbcseg_final_v1\MO_2893_ccrop_mask.png,pbcseg_final_v1\MO_356393_ccrop_mask.png,,True,0.22150709023913925,0.9739927317186894,0.7524856414795501,77.07788269017254,41423,terpisah_di_nol,0.0,True,0.9333828168491372,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
309,0.9334309265617395,4.688928497331349,pbcseg_final_v1\LY_372460_ccrop_mask.png,pbcseg_final_v1\MO_422563_ccrop_mask.png,,True,0.6075574286369438,0.9462671060562987,0.3387096774193548,62.0,25368,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
310,0.7247350706313767,1.6948799940846908,pbcseg_final_v1\LY_267075_ccrop_mask.png,pbcseg_final_v1\LY_228644_ccrop_mask.png,,True,0.2535469899812746,0.995691956274309,0.7421449662930344,43.139309220245984,12829,normal,0.02701716134791496,True,0.8953733922057977,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
311,0.9234765283387821,0.17932069958853045,pbcseg_final_v1\LY_689894_ccrop_mask.png,pbcseg_final_v1\LY_193962_ccrop_mask.png,,True,0.5035700572390804,0.863262955266995,0.35969289802791454,50.11985634456667,16142,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
288,0.9776167170372911,3.984548499156597,pbcseg_final_v1\LY_884557_ccrop_mask.png,pbcseg_final_v1\MO_747260_ccrop_mask.png,,True,0.4461498164585093,0.8007736444340388,0.3546238279755294,55.97320787662612,21450,terpisah_di_nol,0.0,True,0.9986835609675827,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
289,0.835161513503923,3.4722376051709984,pbcseg_final_v1\MO_528930_ccrop_mask.png,pbcseg_final_v1\MO_228669_ccrop_mask.png,,True,0.29068743882472214,0.8454396780388752,0.5547522392141531,73.0,33761,terpisah_di_nol,0.0,True,0.9828260097121876,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
290,0.8473209194055338,1.5943239180979079,pbcseg_final_v1\MO_558465_ccrop_mask.png,pbcseg_final_v1\MO_408876_ccrop_mask.png,,True,0.19549767960637546,0.9343721019723998,0.7388744223660243,59.93329625508679,35961,terpisah_di_nol,0.0,True,1.0,0.6575959492214292,normal,0.6575959492214292,normal
283,0.8294639595965856,0.5098380343033454,pbcseg_final_v1\MO_36319_ccrop_mask.png,pbcseg_final_v1\LY_556886_ccrop_mask.png,,True,0.1539342631179041,0.6795225943455407,0.5255883312276367,68.60029154456998,25267,terpisah_di_nol,0.0,True,0.9998928303504447,0.6859943405700354,normal,0.6859943405700354,normal
284,0.7848106606638666,0.7231759238761557,pbcseg_final_v1\MO_239521_ccrop_mask.png,pbcseg_final_v1\MO_361616_ccrop_mask.png,,True,0.15807628827077216,0.797699138111104,0.6396228498403319,82.86132994346639,41096,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
