tau,rho,n_kalibrasi,skor_mentah,rec_t1,rec_t2,rec_t3,skor_makro3,rec_harus_pecah,rec_harus_utuh,skor_br,limf_tak_pecah,limf_lobus,eo_lobus
1.5,0.4,5736,0.7590655509065551,0.7652210175145955,0.7165196471531676,0.8672985781990521,0.783013080955605,0.981426003594967,0.9896421845574388,0.985534094076203,0.9892915980230642,1.016474464579901,2.43246711581649
1.5,0.5,5736,0.7669107391910739,0.768557130942452,0.7465918203688853,0.8222748815165877,0.7791412776093084,0.9781306171360096,0.9915254237288136,0.9848280204324116,0.9909390444810544,1.0115321252059308,2.3872313121591273
1.5,0.6,5736,0.7641213389121339,0.7781484570475397,0.7678428227746592,0.7132701421800948,0.7530871406674312,0.9703415218693828,0.992467043314501,0.9814042825919419,0.9917627677100495,1.0082372322899507,2.3249919794674367
1.5,0.7,5736,0.7515690376569037,0.7956630525437864,0.7951082598235766,0.4976303317535545,0.6961338813736392,0.9496704613541043,0.992467043314501,0.9710687523343027,0.9925864909390445,1.0074135090609555,2.205646454924607
2.0,0.0,5736,0.7693514644351465,0.7906588824020017,0.7225340817963112,0.8471563981042654,0.7867831207675261,0.9778310365488316,0.9896421845574388,0.9837366105531352,0.9909390444810544,1.0172981878088962,2.418030157202438
2.0,0.1,5736,0.7695258019525802,0.7906588824020017,0.7229350441058541,0.8471563981042654,0.786916774870707,0.9778310365488316,0.9896421845574388,0.9837366105531352,0.9909390444810544,1.0172981878088962,2.4177093358999038
2.0,0.2,5736,0.7717921896792189,0.7919099249374478,0.7273456295108259,0.8459715639810427,0.7884090394764388,0.9778310365488316,0.9905838041431262,0.984207420345979,0.9909390444810544,1.016474464579901,2.4122553737568175
2.0,0.3,5736,0.7770223152022315,0.792743953294412,0.7389735364875701,0.8447867298578199,0.7921680732132673,0.9775314559616537,0.9905838041431262,0.98405763005239,0.9909390444810544,1.016474464579901,2.3978184151427655
2.0,0.4,5736,0.7860878661087866,0.7956630525437864,0.7598235765838012,0.8364928909952607,0.797326506707616,0.9766327142001199,0.9905838041431262,0.9836082591716231,0.9909390444810544,1.014827018121911,2.3708694257298686
2.0,0.5,5736,0.791492329149233,0.798999165971643,0.7846832397754611,0.7902843601895735,0.7913222553122258,0.9736369083283404,0.992467043314501,0.9830519758214207,0.9925864909390445,1.0098846787479407,2.3326916907282644
2.0,0.6,5736,0.7860878661087866,0.8073394495412844,0.7999198075380914,0.6848341232227488,0.764031126767375,0.9661473936488916,0.9934086629001884,0.97977802827454,0.9934102141680395,1.0065897858319606,2.277831247994867
2.0,0.7,5736,0.7690027894002789,0.8223519599666389,0.8175621491579792,0.47393364928909953,0.7046159194712391,0.9439784301977232,0.9934086629001884,0.9686935465489558,0.9942339373970346,1.0057660626029654,2.1703561116458134
2.5,0.0,5736,0.7911436541143654,0.8115095913261051,0.7610264635124299,0.8222748815165877,0.7982703121183743,0.9742360695026963,0.9915254237288136,0.982880746615755,0.9909390444810544,1.016474464579901,2.363490535771575
2.5,0.1,5736,0.7911436541143654,0.8115095913261051,0.7610264635124299,0.8222748815165877,0.7982703121183743,0.9742360695026963,0.9915254237288136,0.982880746615755,0.9909390444810544,1.016474464579901,2.363490535771575
2.5,0.2,5736,0.7925383542538355,0.8119266055045872,0.764234161988773,0.8210900473933649,0.7990836049622416,0.9742360695026963,0.9915254237288136,0.982880746615755,0.9909390444810544,1.0156507413509062,2.3609239653512994
2.5,0.3,5736,0.797071129707113,0.8127606338615513,0.7742582197273457,0.8199052132701422,0.8023080222863465,0.9739364889155183,0.9915254237288136,0.982730956322166,0.9909390444810544,1.0156507413509062,2.348732755854989
2.5,0.4,5736,0.805439330543933,0.8156797331109258,0.7931034482758621,0.8127962085308057,0.8071931299725312,0.9730377471539844,0.9915254237288136,0.982281585441399,0.9909390444810544,1.014003294892916,2.3249919794674367
2.5,0.5,5736,0.8099721059972106,0.8198498748957465,0.8155573376102646,0.7654028436018957,0.8002700187026356,0.969742360695027,0.9934086629001884,0.9815755117976077,0.9925864909390445,1.0090609555189456,2.2903432787937117
2.5,0.6,5736,0.8042189679218968,0.8281901584653878,0.8295910184442662,0.6611374407582938,0.7729728725559827,0.9622528460155781,0.9943502824858758,0.9783015642507269,0.9934102141680395,1.0065897858319606,2.2380494064805903
2.5,0.7,5736,0.7862622036262203,0.841534612176814,0.8436246992782679,0.4597156398104265,0.7149583170885028,0.9406830437387658,0.9943502824858758,0.9675166631123208,0.9942339373970346,1.0057660626029654,2.139236445299968
